Column1,Column2
0,199.805
100,-0.195312
-100,-0.195312
50,99.8047
150,-100.195
-50,-100.195
-50,99.8047
50,-100.195
-150,-100.195
25,149.805
125,-50.1953
-75,-50.1953
75,49.8047
175,-150.195
-25,-150.195
-25,49.8047
75,-150.195
-125,-150.195
-25,149.805
75,-50.1953
-125,-50.1953
25,49.8047
125,-150.195
-75,-150.195
-75,49.8047
25,-150.195
-175,-150.195
12.5,174.805
112.5,-25.1953
-87.5,-25.1953
62.5,74.8047
162.5,-125.195
-37.5,-125.195
-37.5,74.8047
62.5,-125.195
-137.5,-125.195
37.5,124.805
137.5,-75.1953
-62.5,-75.1953
87.5,24.8047
187.5,-175.195
-12.5,-175.195
-12.5,24.8047
87.5,-175.195
-112.5,-175.195
-12.5,124.805
87.5,-75.1953
-112.5,-75.1953
37.5,24.8047
137.5,-175.195
-62.5,-175.195
-62.5,24.8047
37.5,-175.195
-162.5,-175.195
-12.5,174.805
87.5,-25.1953
-112.5,-25.1953
37.5,74.8047
137.5,-125.195
-62.5,-125.195
-62.5,74.8047
37.5,-125.195
-162.5,-125.195
12.5,124.805
112.5,-75.1953
-87.5,-75.1953
62.5,24.8047
162.5,-175.195
-37.5,-175.195
-37.5,24.8047
62.5,-175.195
-137.5,-175.195
-37.5,124.805
62.5,-75.1953
-137.5,-75.1953
12.5,24.8047
112.5,-175.195
-87.5,-175.195
-87.5,24.8047
12.5,-175.195
-187.5,-175.195
6.25,187.305
106.25,-12.6953
-93.75,-12.6953
56.25,87.3047
156.25,-112.695
-43.75,-112.695
-43.75,87.3047
56.25,-112.695
-143.75,-112.695
31.25,137.305
131.25,-62.6953
-68.75,-62.6953
81.25,37.3047
181.25,-162.695
-18.75,-162.695
-18.75,37.3047
81.25,-162.695
-118.75,-162.695
-18.75,137.305
81.25,-62.6953
-118.75,-62.6953
31.25,37.3047
131.25,-162.695
-68.75,-162.695
-68.75,37.3047
31.25,-162.695
-168.75,-162.695
18.75,162.305
118.75,-37.6953
-81.25,-37.6953
68.75,62.3047
168.75,-137.695
-31.25,-137.695
-31.25,62.3047
68.75,-137.695
-131.25,-137.695
43.75,112.305
143.75,-87.6953
-56.25,-87.6953
93.75,12.3047
193.75,-187.695
-6.25,-187.695
-6.25,12.3047
93.75,-187.695
-106.25,-187.695
-6.25,112.305
93.75,-87.6953
-106.25,-87.6953
43.75,12.3047
143.75,-187.695
-56.25,-187.695
-56.25,12.3047
43.75,-187.695
-156.25,-187.695
-6.25,162.305
93.75,-37.6953
-106.25,-37.6953
43.75,62.3047
143.75,-137.695
-56.25,-137.695
-56.25,62.3047
43.75,-137.695
-156.25,-137.695
18.75,112.305
118.75,-87.6953
-81.25,-87.6953
68.75,12.3047
168.75,-187.695
-31.25,-187.695
-31.25,12.3047
68.75,-187.695
-131.25,-187.695
-31.25,112.305
68.75,-87.6953
-131.25,-87.6953
18.75,12.3047
118.75,-187.695
-81.25,-187.695
-81.25,12.3047
18.75,-187.695
-181.25,-187.695
-6.25,187.305
93.75,-12.6953
-106.25,-12.6953
43.75,87.3047
143.75,-112.695
-56.25,-112.695
-56.25,87.3047
43.75,-112.695
-156.25,-112.695
18.75,137.305
118.75,-62.6953
-81.25,-62.6953
68.75,37.3047
168.75,-162.695
-31.25,-162.695
-31.25,37.3047
68.75,-162.695
-131.25,-162.695
-31.25,137.305
68.75,-62.6953
-131.25,-62.6953
18.75,37.3047
118.75,-162.695
-81.25,-162.695
-81.25,37.3047
18.75,-162.695
-181.25,-162.695
6.25,162.305
106.25,-37.6953
-93.75,-37.6953
56.25,62.3047
156.25,-137.695
-43.75,-137.695
-43.75,62.3047
56.25,-137.695
-143.75,-137.695
31.25,112.305
131.25,-87.6953
-68.75,-87.6953
81.25,12.3047
181.25,-187.695
-18.75,-187.695
-18.75,12.3047
81.25,-187.695
-118.75,-187.695
-18.75,112.305
81.25,-87.6953
-118.75,-87.6953
31.25,12.3047
131.25,-187.695
-68.75,-187.695
-68.75,12.3047
31.25,-187.695
-168.75,-187.695
-18.75,162.305
81.25,-37.6953
-118.75,-37.6953
31.25,62.3047
131.25,-137.695
-68.75,-137.695
-68.75,62.3047
31.25,-137.695
-168.75,-137.695
6.25,112.305
106.25,-87.6953
-93.75,-87.6953
56.25,12.3047
156.25,-187.695
-43.75,-187.695
-43.75,12.3047
56.25,-187.695
-143.75,-187.695
-43.75,112.305
56.25,-87.6953
-143.75,-87.6953
6.25,12.3047
106.25,-187.695
-93.75,-187.695
-93.75,12.3047
6.25,-187.695
-193.75,-187.695
3.125,193.555
103.125,-6.44531
-96.875,-6.44531
53.125,93.5547
153.125,-106.445
-46.875,-106.445
-46.875,93.5547
53.125,-106.445
-146.875,-106.445
28.125,143.555
128.125,-56.4453
-71.875,-56.4453
78.125,43.5547
178.125,-156.445
-21.875,-156.445
-21.875,43.5547
78.125,-156.445
-121.875,-156.445
-21.875,143.555
78.125,-56.4453
-121.875,-56.4453
28.125,43.5547
128.125,-156.445
-71.875,-156.445
-71.875,43.5547
28.125,-156.445
-171.875,-156.445
15.625,168.555
115.625,-31.4453
-84.375,-31.4453
65.625,68.5547
165.625,-131.445
-34.375,-131.445
-34.375,68.5547
65.625,-131.445
-134.375,-131.445
40.625,118.555
140.625,-81.4453
-59.375,-81.4453
90.625,18.5547
190.625,-181.445
-9.375,-181.445
-9.375,18.5547
90.625,-181.445
-109.375,-181.445
-9.375,118.555
90.625,-81.4453
-109.375,-81.4453
40.625,18.5547
140.625,-181.445
-59.375,-181.445
-59.375,18.5547
40.625,-181.445
-159.375,-181.445
-9.375,168.555
90.625,-31.4453
-109.375,-31.4453
40.625,68.5547
140.625,-131.445
-59.375,-131.445
-59.375,68.5547
40.625,-131.445
-159.375,-131.445
15.625,118.555
115.625,-81.4453
-84.375,-81.4453
65.625,18.5547
165.625,-181.445
-34.375,-181.445
-34.375,18.5547
65.625,-181.445
-134.375,-181.445
-34.375,118.555
65.625,-81.4453
-134.375,-81.4453
15.625,18.5547
115.625,-181.445
-84.375,-181.445
-84.375,18.5547
15.625,-181.445
-184.375,-181.445
9.375,181.055
109.375,-18.9453
-90.625,-18.9453
59.375,81.0547
159.375,-118.945
-40.625,-118.945
-40.625,81.0547
59.375,-118.945
-140.625,-118.945
34.375,131.055
134.375,-68.9453
-65.625,-68.9453
84.375,31.0547
184.375,-168.945
-15.625,-168.945
-15.625,31.0547
84.375,-168.945
-115.625,-168.945
-15.625,131.055
84.375,-68.9453
-115.625,-68.9453
34.375,31.0547
134.375,-168.945
-65.625,-168.945
-65.625,31.0547
34.375,-168.945
-165.625,-168.945
21.875,156.055
121.875,-43.9453
-78.125,-43.9453
71.875,56.0547
171.875,-143.945
-28.125,-143.945
-28.125,56.0547
71.875,-143.945
-128.125,-143.945
46.875,106.055
146.875,-93.9453
-53.125,-93.9453
96.875,6.05469
196.875,-193.945
-3.125,-193.945
-3.125,6.05469
96.875,-193.945
-103.125,-193.945
-3.125,106.055
96.875,-93.9453
-103.125,-93.9453
46.875,6.05469
146.875,-193.945
-53.125,-193.945
-53.125,6.05469
46.875,-193.945
-153.125,-193.945
-3.125,156.055
96.875,-43.9453
-103.125,-43.9453
46.875,56.0547
146.875,-143.945
-53.125,-143.945
-53.125,56.0547
46.875,-143.945
-153.125,-143.945
21.875,106.055
121.875,-93.9453
-78.125,-93.9453
71.875,6.05469
171.875,-193.945
-28.125,-193.945
-28.125,6.05469
71.875,-193.945
-128.125,-193.945
-28.125,106.055
71.875,-93.9453
-128.125,-93.9453
21.875,6.05469
121.875,-193.945
-78.125,-193.945
-78.125,6.05469
21.875,-193.945
-178.125,-193.945
-3.125,181.055
96.875,-18.9453
-103.125,-18.9453
46.875,81.0547
146.875,-118.945
-53.125,-118.945
-53.125,81.0547
46.875,-118.945
-153.125,-118.945
21.875,131.055
121.875,-68.9453
-78.125,-68.9453
71.875,31.0547
171.875,-168.945
-28.125,-168.945
-28.125,31.0547
71.875,-168.945
-128.125,-168.945
-28.125,131.055
71.875,-68.9453
-128.125,-68.9453
21.875,31.0547
121.875,-168.945
-78.125,-168.945
-78.125,31.0547
21.875,-168.945
-178.125,-168.945
9.375,156.055
109.375,-43.9453
-90.625,-43.9453
59.375,56.0547
159.375,-143.945
-40.625,-143.945
-40.625,56.0547
59.375,-143.945
-140.625,-143.945
34.375,106.055
134.375,-93.9453
-65.625,-93.9453
84.375,6.05469
184.375,-193.945
-15.625,-193.945
-15.625,6.05469
84.375,-193.945
-115.625,-193.945
-15.625,106.055
84.375,-93.9453
-115.625,-93.9453
34.375,6.05469
134.375,-193.945
-65.625,-193.945
-65.625,6.05469
34.375,-193.945
-165.625,-193.945
-15.625,156.055
84.375,-43.9453
-115.625,-43.9453
34.375,56.0547
134.375,-143.945
-65.625,-143.945
-65.625,56.0547
34.375,-143.945
-165.625,-143.945
9.375,106.055
109.375,-93.9453
-90.625,-93.9453
59.375,6.05469
159.375,-193.945
-40.625,-193.945
-40.625,6.05469
59.375,-193.945
-140.625,-193.945
-40.625,106.055
59.375,-93.9453
-140.625,-93.9453
9.375,6.05469
109.375,-193.945
-90.625,-193.945
-90.625,6.05469
9.375,-193.945
-190.625,-193.945
-3.125,193.555
96.875,-6.44531
-103.125,-6.44531
46.875,93.5547
146.875,-106.445
-53.125,-106.445
-53.125,93.5547
46.875,-106.445
-153.125,-106.445
21.875,143.555
121.875,-56.4453
-78.125,-56.4453
71.875,43.5547
171.875,-156.445
-28.125,-156.445
-28.125,43.5547
71.875,-156.445
-128.125,-156.445
-28.125,143.555
71.875,-56.4453
-128.125,-56.4453
21.875,43.5547
121.875,-156.445
-78.125,-156.445
-78.125,43.5547
21.875,-156.445
-178.125,-156.445
9.375,168.555
109.375,-31.4453
-90.625,-31.4453
59.375,68.5547
159.375,-131.445
-40.625,-131.445
-40.625,68.5547
59.375,-131.445
-140.625,-131.445
34.375,118.555
134.375,-81.4453
-65.625,-81.4453
84.375,18.5547
184.375,-181.445
-15.625,-181.445
-15.625,18.5547
84.375,-181.445
-115.625,-181.445
-15.625,118.555
84.375,-81.4453
-115.625,-81.4453
34.375,18.5547
134.375,-181.445
-65.625,-181.445
-65.625,18.5547
34.375,-181.445
-165.625,-181.445
-15.625,168.555
84.375,-31.4453
-115.625,-31.4453
34.375,68.5547
134.375,-131.445
-65.625,-131.445
-65.625,68.5547
34.375,-131.445
-165.625,-131.445
9.375,118.555
109.375,-81.4453
-90.625,-81.4453
59.375,18.5547
159.375,-181.445
-40.625,-181.445
-40.625,18.5547
59.375,-181.445
-140.625,-181.445
-40.625,118.555
59.375,-81.4453
-140.625,-81.4453
9.375,18.5547
109.375,-181.445
-90.625,-181.445
-90.625,18.5547
9.375,-181.445
-190.625,-181.445
3.125,181.055
103.125,-18.9453
-96.875,-18.9453
53.125,81.0547
153.125,-118.945
-46.875,-118.945
-46.875,81.0547
53.125,-118.945
-146.875,-118.945
28.125,131.055
128.125,-68.9453
-71.875,-68.9453
78.125,31.0547
178.125,-168.945
-21.875,-168.945
-21.875,31.0547
78.125,-168.945
-121.875,-168.945
-21.875,131.055
78.125,-68.9453
-121.875,-68.9453
28.125,31.0547
128.125,-168.945
-71.875,-168.945
-71.875,31.0547
28.125,-168.945
-171.875,-168.945
15.625,156.055
115.625,-43.9453
-84.375,-43.9453
65.625,56.0547
165.625,-143.945
-34.375,-143.945
-34.375,56.0547
65.625,-143.945
-134.375,-143.945
40.625,106.055
140.625,-93.9453
-59.375,-93.9453
90.625,6.05469
190.625,-193.945
-9.375,-193.945
-9.375,6.05469
90.625,-193.945
-109.375,-193.945
-9.375,106.055
90.625,-93.9453
-109.375,-93.9453
40.625,6.05469
140.625,-193.945
-59.375,-193.945
-59.375,6.05469
40.625,-193.945
-159.375,-193.945
-9.375,156.055
90.625,-43.9453
-109.375,-43.9453
40.625,56.0547
140.625,-143.945
-59.375,-143.945
-59.375,56.0547
40.625,-143.945
-159.375,-143.945
15.625,106.055
115.625,-93.9453
-84.375,-93.9453
65.625,6.05469
165.625,-193.945
-34.375,-193.945
-34.375,6.05469
65.625,-193.945
-134.375,-193.945
-34.375,106.055
65.625,-93.9453
-134.375,-93.9453
15.625,6.05469
115.625,-193.945
-84.375,-193.945
-84.375,6.05469
15.625,-193.945
-184.375,-193.945
-9.375,181.055
90.625,-18.9453
-109.375,-18.9453
40.625,81.0547
140.625,-118.945
-59.375,-118.945
-59.375,81.0547
40.625,-118.945
-159.375,-118.945
15.625,131.055
115.625,-68.9453
-84.375,-68.9453
65.625,31.0547
165.625,-168.945
-34.375,-168.945
-34.375,31.0547
65.625,-168.945
-134.375,-168.945
-34.375,131.055
65.625,-68.9453
-134.375,-68.9453
15.625,31.0547
115.625,-168.945
-84.375,-168.945
-84.375,31.0547
15.625,-168.945
-184.375,-168.945
3.125,156.055
103.125,-43.9453
-96.875,-43.9453
53.125,56.0547
153.125,-143.945
-46.875,-143.945
-46.875,56.0547
53.125,-143.945
-146.875,-143.945
28.125,106.055
128.125,-93.9453
-71.875,-93.9453
78.125,6.05469
178.125,-193.945
-21.875,-193.945
-21.875,6.05469
78.125,-193.945
-121.875,-193.945
-21.875,106.055
78.125,-93.9453
-121.875,-93.9453
28.125,6.05469
128.125,-193.945
-71.875,-193.945
-71.875,6.05469
28.125,-193.945
-171.875,-193.945
-21.875,156.055
78.125,-43.9453
-121.875,-43.9453
28.125,56.0547
128.125,-143.945
-71.875,-143.945
-71.875,56.0547
28.125,-143.945
-171.875,-143.945
3.125,106.055
