Column1,Column2
-266.492,0
53.5081,0
-106.492,-133.115
-106.492,133.115
-138.492,0
181.508,0
21.5081,26.8851
21.5081,-26.8851
-202.492,-53.1149
117.508,-53.1149
23.9017,-106.23
-108.886,0
-202.492,53.1149
117.508,53.1149
-108.886,0
23.9017,106.23
-215.292,0
104.708,0
-55.2919,-69.1149
-55.2919,69.1149
-87.2919,0
232.708,0
72.7081,90.8851
72.7081,-90.8851
-151.292,10.8851
168.708,10.8851
-4.8983,21.7702
22.3145,0
-151.292,-10.8851
168.708,-10.8851
22.3145,0
-4.8983,-21.7702
-240.892,-21.1149
79.1081,-21.1149
-54.4983,-122.23
-107.286,80
-112.892,-21.1149
207.108,-21.1149
73.5017,37.7702
20.7145,-80
-150.498,-42.2298
169.502,-42.2298
62.2889,-30.3526
-43.2855,-54.1069
-203.286,0
116.714,0
-43.2855,-54.1069
-43.2855,54.1069
-240.892,21.1149
79.1081,21.1149
-107.286,-80
-54.4983,122.23
-112.892,21.1149
207.108,21.1149
20.7145,80
73.5017,-37.7702
-203.286,0
116.714,0
-43.2855,-54.1069
-43.2855,54.1069
-150.498,42.2298
169.502,42.2298
-43.2855,54.1069
62.2889,30.3526
-246.012,0
73.9881,0
-86.0119,-107.515
-86.0119,107.515
-118.012,0
201.988,0
41.9881,52.4851
41.9881,-52.4851
-182.012,-27.5149
137.988,-27.5149
12.3817,-55.0298
-56.4055,0
-182.012,27.5149
137.988,27.5149
-56.4055,0
12.3817,55.0298
-194.812,0
125.188,0
-34.8119,-43.5149
-34.8119,43.5149
-66.8119,0
253.188,0
93.1881,116.485
93.1881,-116.485
-130.812,36.4851
189.188,36.4851
-16.4183,72.9702
74.7945,0
-130.812,-36.4851
189.188,-36.4851
74.7945,0
-16.4183,-72.9702
-220.412,4.48512
99.5881,4.48512
-66.0183,-71.0298
-54.8055,80
-92.4119,4.48512
227.588,4.48512
61.9817,88.9702
73.1945,-80
-162.018,8.97024
157.982,8.97024
-13.2311,6.44736
9.1945,11.4931
-150.806,0
169.194,0
9.1945,11.4931
9.1945,-11.4931
-220.412,-4.48512
99.5881,-4.48512
-54.8055,-80
-66.0183,71.0298
-92.4119,-4.48512
227.588,-4.48512
73.1945,80
61.9817,-88.9702
-150.806,0
169.194,0
9.1945,11.4931
9.1945,-11.4931
-162.018,-8.97024
157.982,-8.97024
9.1945,-11.4931
-13.2311,-6.44736
-256.252,-8.31488
63.7481,-8.31488
-85.8583,-128.63
-106.646,112
-128.252,-8.31488
191.748,-8.31488
42.1417,31.3702
21.3545,-48
-181.858,-48.6298
138.142,-48.6298
38.9289,-75.9526
-82.6455,-21.3069
-202.646,32
117.354,32
-82.6455,-21.3069
-2.6455,85.3069
-205.052,-8.31488
114.948,-8.31488
-34.6583,-64.6298
-55.4455,48
-77.0519,-8.31488
242.948,-8.31488
93.3417,95.3702
72.5545,-112
-130.658,15.3702
189.342,15.3702
10.1289,52.0474
48.5545,-21.3069
-151.446,-32
168.554,-32
48.5545,-21.3069
-31.4455,-42.6931
-220.258,-16.6298
99.7417,-16.6298
-39.4711,-91.9526
-81.0455,58.6931
-92.2583,-16.6298
227.742,-16.6298
88.5289,68.0474
46.9545,-101.307
-135.471,-11.9526
184.529,-11.9526
39.4697,18.7085
9.5881,-42.6138
-177.046,-21.3069
142.954,-21.3069
9.5881,-42.6138
-43.6791,0
-241.046,0
78.9545,0
-81.0455,-101.307
-81.0455,101.307
-113.046,0
206.954,0
46.9545,58.6931
46.9545,-58.6931
-177.046,-21.3069
142.954,-21.3069
9.5881,-42.6138
-43.6791,0
-177.046,21.3069
142.954,21.3069
-43.6791,0
9.5881,42.6138
-256.252,8.31488
63.7481,8.31488
-106.646,-112
-85.8583,128.63
-128.252,8.31488
191.748,8.31488
21.3545,48
42.1417,-31.3702
-202.646,-32
117.354,-32
-2.6455,-85.3069
-82.6455,21.3069
-181.858,48.6298
138.142,48.6298
-82.6455,21.3069
38.9289,75.9526
-205.052,8.31488
114.948,8.31488
-55.4455,-48
-34.6583,64.6298
-77.0519,8.31488
242.948,8.31488
72.5545,112
93.3417,-95.3702
-151.446,32
168.554,32
-31.4455,42.6931
48.5545,21.3069
-130.658,-15.3702
189.342,-15.3702
48.5545,21.3069
10.1289,-52.0474
-241.046,0
78.9545,0
-81.0455,-101.307
-81.0455,101.307
-113.046,0
206.954,0
46.9545,58.6931
46.9545,-58.6931
-177.046,-21.3069
142.954,-21.3069
9.5881,-42.6138
-43.6791,0
-177.046,21.3069
142.954,21.3069
-43.6791,0
9.5881,42.6138
-220.258,16.6298
99.7417,16.6298
-81.0455,-58.6931
-39.4711,91.9526
-92.2583,16.6298
227.742,16.6298
46.9545,101.307
88.5289,-68.0474
-177.046,21.3069
142.954,21.3069
-43.6791,0
9.5881,42.6138
-135.471,11.9526
184.529,11.9526
9.5881,42.6138
39.4697,-18.7085
-258.3,0
61.7001,0
-98.2999,-122.875
-98.2999,122.875
-130.3,0
189.7,0
29.7001,37.1251
29.7001,-37.1251
-194.3,-42.8749
125.7,-42.8749
19.2937,-85.7498
-87.8935,0
-194.3,42.8749
125.7,42.8749
-87.8935,0
19.2937,85.7498
-207.1,0
112.9,0
-47.0999,-58.8749
-47.0999,58.8749
-79.0999,0
240.9,0
80.9001,101.125
80.9001,-101.125
-143.1,21.1251
176.9,21.1251
-9.5063,42.2502
43.3065,0
-143.1,-21.1251
176.9,-21.1251
43.3065,0
-9.5063,-42.2502
-232.7,-10.8749
87.3001,-10.8749
-59.1063,-101.75
-86.2935,80
-104.7,-10.8749
215.3,-10.8749
68.8937,58.2502
41.7065,-80
-155.106,-21.7498
164.894,-21.7498
32.0809,-15.6326
-22.2935,-27.8669
-182.294,0
137.706,0
-22.2935,-27.8669
-22.2935,27.8669
-232.7,10.8749
87.3001,10.8749
-86.2935,-80
-59.1063,101.75
-104.7,10.8749
215.3,10.8749
41.7065,80
68.8937,-58.2502
-182.294,0
137.706,0
-22.2935,-27.8669
-22.2935,27.8669
-155.106,21.7498
164.894,21.7498
-22.2935,27.8669
32.0809,15.6326
-237.82,0
82.1801,0
-77.8199,-97.2749
-77.8199,97.2749
-109.82,0
210.18,0
50.1801,62.7251
50.1801,-62.7251
-173.82,-17.2749
146.18,-17.2749
7.7737,-34.5498
-35.4135,0
-173.82,17.2749
146.18,17.2749
-35.4135,0
7.7737,34.5498
-186.62,0
133.38,0
-26.6199,-33.2749
-26.6199,33.2749
-58.6199,0
261.38,0
101.38,126.725
101.38,-126.725
-122.62,46.7251
197.38,46.7251
-21.0263,93.4502
95.7865,0
-122.62,-46.7251
197.38,-46.7251
95.7865,0
-21.0263,-93.4502
-212.22,14.7251
107.78,14.7251
-70.6263,-50.5498
-33.8135,80
-84.2199,14.7251
235.78,14.7251
57.3737,109.45
94.1865,-80
-166.626,29.4502
153.374,29.4502
-43.4391,21.1674
30.1865,37.7331
